Name,Symbol,Price,Market cap,24h change
COQINU,COQ,0.0₅253,$ 175.85M,+2.94%
Bone ShibaSwap,BONE,0.694,$ 173.5M,+8.23%
Alephium,ALPH,2.00,$ 173.38M,+1.71%
My Neighbor Alice,ALICE,1.87,$ 172.6M,+5.12%
Alethea Artificial Liquid Intelligence Token,ALI,0.021,$ 171.86M,+3.55%
ERGO,ERG,2.17,$ 170.53M,+6.58%
Zentry,ZENT,0.0279,$ 170.26M,+5.53%
ALEO,ALEO,1.65,$ 166.88M,+0.77%
sudeng,HIPPO,0.0167,$ 166.82M,+5.65%
Orbs,ORBS,0.0379,$ 166.48M,+3.75%
Symbol,XYM,0.0298,$ 166.43M,+1.47%
Voxies,VOXEL,0.274,$ 164.33M,+1.93%
TokenFi,TOKEN,0.0816,$ 163.93M,+6.19%
Pundi X,PUNDIX,0.632,$ 163.22M,+1.40%
NetMind Token,NMT,3.85,$ 162.69M,+1.54%
Syscoin,SYS,0.182,$ 161.26M,+7.91%
Bounce,AUCTION,21.00,$ 160.43M,-0.79%
Automata Network,ATA,0.148,$ 159.89M,+4.55%
LUMIA,LUMIA,2.17,$ 159.9M,+4.97%
WINkLink,WIN,0.000155,$ 159.33M,+5.24%
CARV,CARV,1.06,$ 159.19M,-0.89%
michi,$MICHI,0.284,$ 158.13M,+4.88%
COTI,COTI,0.181,$ 157.39M,+2.86%
Sun,SUN,0.0314,$ 156.1M,+2.30%
Taiko Token,TAIKO,2.36,$ 155.9M,+0.47%
Banana,BANANA,59.62,$ 154.64M,+2.95%
SLERF,SLERF,0.309,$ 154.62M,+8.77%
Aurora,AURORA,0.279,$ 153.92M,-0.44%
ECOMI,OMI,0.000564,$ 152.91M,-12.52%
Cetus,CETUS,0.453,$ 152.69M,+8.84%
AITECH,AITECH,0.141,$ 152.04M,+1.43%
Helium Mobile,MOBILE,0.00175,$ 151.06M,+44.57%
Mobox,MBOX,0.318,$ 149.63M,+5.26%
Venom,VENOM,0.0783,$ 148.29M,+3.41%
Name,Symbol,Price,Market cap,24h change
Prosper,PROS,0.741,$ 148.17M,+3.99%
dKargo,DKA,0.0296,$ 147.82M,+1.53%
Seedify.fund,SFUND,2.29,$ 145.72M,+6.04%
ACEToken,ACE,3.57,$ 145.33M,+3.01%
Unizen,ZCX,0.21,$ 144.9M,+11.76%
Velodrome Finance,VELO,0.167,$ 144.68M,+13.69%
Covalent X Token,CXT,0.151,$ 144.64M,+0.00%
Perpetual Protocol,PERP,1.25,$ 144.21M,+6.46%
Santos FC Fan Token,SANTOS,4.75,$ 142.54M,+1.85%
Lista DAO,LISTA,0.617,$ 141.98M,+3.39%
TOSHI,TOSHI,0.000338,$ 142.21M,+3.00%
Steem,STEEM,0.298,$ 142.26M,+5.37%
CoW Protocol,COW,0.519,$ 141.58M,+11.79%
Omni Network,OMNI,13.52,$ 140.52M,-0.20%
CertiK,CTK,0.998,$ 139.42M,+0.86%
Prometeus,PROM,7.33,$ 139.27M,+2.92%
X Empire,X,0.000202,$ 139.21M,+5.37%
Gods Unchained,GODS,0.278,$ 138.94M,+5.96%
Orchid Protocol,OXT,0.137,$ 137.42M,-0.28%
JOE,JOE,0.627,$ 137.16M,+0.30%
Mumu the Bull,MUMU,0.0000601,$ 137.23M,+21.98%
Myro,$MYRO,0.137,$ 136.98M,+10.47%
dYdX Token,DYDX,2.45,$ 136.39M,+7.16%
Bitgert,BRISE,0.0₆136,$ 136.04M,+6.84%
DAO Maker,DAO,0.542,$ 135.9M,+3.25%
SuperRare,RARE,0.19,$ 135.9M,+12.33%
AIT Protocol,AIT,0.138,$ 134.28M,+15.73%
Gitcoin,GTC,1.33,$ 132.1M,+5.04%
Stox,STX,2.68,$ 131.33M,+0.11%
H2O DAO,H2O,0.159,$ 131.23M,+1.47%
Acala,ACA,0.115,$ 130.89M,+1.95%
STASIS EURO,EURS,1.05,$ 130.95M,-0.33%
Chain,XCN,0.00278,$ 130.25M,-0.31%
RATS BRC,RATS,0.00013,$ 129.95M,+7.63%
MovieBloc,MBL,0.00433,$ 129.75M,+0.98%
BENQI,QI,0.0254,$ 129.56M,+3.04%
Radio Caca,RACA,0.000315,$ 129.55M,+2.07%
Boba Network,BOBA,0.32,$ 127.05M,+0.25%
Ardor,ARDR,0.125,$ 124.97M,+3.72%
The Doge NFT,DOG,0.00734,$ 124.93M,+12.66%
QuarkChain,QKC,0.0131,$ 124.21M,+2.28%
WAX,WAXP,0.0642,$ 123.22M,+3.40%
Beta Finance,BETA,0.0615,$ 123.02M,+2.21%
Adventure Gold,AGLD,1.58,$ 122.21M,+2.40%
SIDUS HEROES,SIDUS,0.00684,$ 122.34M,+9.82%
Propchain,PROPC,1.78,$ 121.84M,-2.96%
SdexToken,SDEX,0.0136,$ 121.56M,-0.97%
Shadow Token,SHDW,0.751,$ 121.49M,+6.34%
Radiant Capital,RDNT,0.103,$ 120.61M,+0.91%
